recipient_name,recipient_county_name,action_date_fiscal_year,prime_award_transaction_recipient_cd_current,federal_action_obligation
"GLENAIR, INC.",LOS ANGELES,2008,CA-30,1055.0
MILLENWORKS,ORANGE,2008,CA-40,69939.0
NORTHROP GRUMMAN SYSTEMS CORPORATION,,2008,CA-44,4230600.0
NORTHROP GRUMMAN SYSTEMS CORPORATION,,2008,CA-44,-114154.0
TOYON RESEARCH CORPORATION,SANTA BARBARA,2008,CA-24,99000.0
"PELICAN PRODUCTS, INC.",,2008,CA-90,36561.0
WECO INC.,,2008,CA-03,3240.0
RACAAR CIRCUIT INDUSTRIES INC,,2008,CA-32,2600.0
AUGUSTA AERO INNOVATIONS LLC,PLACER,2008,CA-03,3479.0
"PAE GOVERNMENT SERVICES, INC.",,2008,CA-90,6669.92
ENDOLOGIX LLC,ORANGE,2008,CA-47,12770.0
"B & B ENVIRONMENTAL SAFETY, INC.",,2008,CA-13,0.0
"DYTRAN INSTRUMENTS, INC.",,2008,CA-32,0.0
"SPS TECHNOLOGIES, LLC",ORANGE,2008,CA-46,13158.0
"T.J. FIG, INC.",SAN JOAQUIN,2008,CA-09,297941.08
"LEIDOS, INC.",,2008,CA-90,0.0
ENGILITY CORPORATION,,2008,CA-90,99826.0
PALO ALTO RESEARCH CENTER LLC,SANTA CLARA,2008,CA-16,841516.0
ELINTRIX,,2008,CA-90,250000.0
ENGILITY CORPORATION,,2008,CA-90,0.0
RAYTHEON COMPANY,LOS ANGELES,2008,CA-36,0.0
"JADOO POWER SYSTEMS, INC.",SACRAMENTO,2008,CA-03,67231.0
"COVENANT TRANSPORT SERVICE, INC.",SAN JOAQUIN,2008,CA-90,0.0
JERRY TELLO,LOS ANGELES,2008,CA-38,4000.0
"TELEDYNE SCIENTIFIC & IMAGING, LLC",,2008,CA-26,0.0
"HITACHI HIGH TECHNOLOGIES AMERICA, INC.",,2008,CA-14,31136.59
"INTELLIGENT OPTICAL SYSTEMS, INC.",,2008,CA-90,316477.0
"CLEANING SYSTEM SPECIALISTS, INC.",SAN DIEGO,2008,CA-48,4995.0
AMRON INTERNATIONAL INC,SAN DIEGO,2008,CA-49,9361.0
SEQUAL TECHNOLOGIES INC.,,2008,CA-90,699000.0
SWAIN SPORTS INTERNATIONAL,SANTA CLARA,2008,CA-16,5795.0
VISIBLE DISPLAY CORPORATION,PLACER,2008,CA-03,23685.0
JWP MANUFACTURING,SANTA CLARA,2008,CA-17,956.0
"AEROTECH NEWS AND REVIEW, INC.",,2008,CA-90,400.0
"SMP SERVICES, INC.",,2008,CA-03,0.0
"EVOLUTION ENTERPRISES, INC",SAN DIEGO,2008,CA-52,0.0
WEBCO,VENTURA,2008,CA-24,26867.7
SAM AZZOUNI,SAN MATEO,2008,CA-15,3660.0
"ICE MANAGEMENT SYSTEMS, INC.",,2008,CA-48,0.0
GREENLINE DATA INCORPORATED,,2008,CA-26,2965.0
SAN BERNARDINO COUNTY,SAN BERNARDINO,2008,CA-33,0.0
"EXCLUSIVE TENT RENTALS, INC",,2008,CA-31,0.0
FRONTIER CALIFORNIA INC,VENTURA,2008,CA-26,8280.0
"CLARKLIFT-WEST, INC.",SACRAMENTO,2008,CA-07,80886.0
"PACIFIC TRIANGLE SOFTWARE, INC",,2008,CA-16,3888.0
"FLIR MOTION CONTROL SYSTEMS, INC.",SAN MATEO,2008,CA-15,6645.0
ALPHA FIRE UNLIMITED,SAN LUIS OBISPO,2008,CA-24,8495.0
"ENTERPRISE RENT-A-CAR COMPANY OF LOS ANGELES, LLC",LOS ANGELES,2008,CA-44,7200.0
"ADVANCED COPY SYSTEMS, INC",,2008,CA-33,0.0
"LEIDOS, INC.",,2008,CA-90,0.0
"CENTERRA INTEGRATED CONSTRUCTION SERVICES, LLC",SAN DIEGO,2008,CA-50,0.0
I.T.S. CORPORATION,VENTURA,2008,CA-26,0.0
"TELEDYNE, INC",SAN DIEGO,2008,CA-50,953950.0
"L3 TECHNOLOGIES, INC.",,2008,CA-90,17040.0
"WESTNET, LLC",ORANGE,2008,CA-47,94995.39
"JEFF PLOUTZ CONSTRUCTION, INC.",SANTA BARBARA,2008,CA-24,38445.0
"IKON OFFICE SOLUTIONS, INC.",,2008,CA-10,0.0
"CALIDAD INDUSTRIES, INC.",,2008,CA-12,4500.94
CLEAR-COM LLC,ALAMEDA,2008,CA-12,0.0
UNIVERSAL CONTROL SOLUTIONS CORP.,LOS ANGELES,2008,CA-29,3524.06
"DEL-JEN, INC.",,2008,CA-36,8622830.0
"ROCKWELL AUTOMATION, INC",,2008,CA-26,0.0
"DATRON WORLD COMMUNICATIONS, INC.",,2008,CA-49,0.0
"FISICA APPLIED TECHNOLOGIES, INC.",ALAMEDA,2008,CA-12,14678.0
NORTHROP GRUMMAN CORPORATION,LOS ANGELES,2008,CA-38,0.0
THE BOEING COMPANY,,2008,CA-46,48543810.0
ISX CORPORATION,,2008,CA-26,-2635.03
GREEN HILLS SOFTWARE LLC,SANTA BARBARA,2008,CA-24,8760.0
"BAY SYSTEMS CONSULTING, INC",ALAMEDA,2008,CA-12,812746.41
"CALIDAD INDUSTRIES, INC.",,2008,CA-12,0.0
"CUBIC DEFENSE APPLICATIONS, INC.",SAN DIEGO,2008,CA-51,0.0
"LEIDOS, INC.",,2008,CA-90,0.0
"BROOKSTONE EMERGENCY SERVICES, INC.",,2008,CA-90,43200.0
NORTHROP GRUMMAN SYSTEMS CORPORATION,,2008,CA-36,1679693.0
NORTHROP GRUMMAN CORPORATION,LOS ANGELES,2008,CA-38,34694.0
"ACCENT SERVICE COMPANY, INC.",,2008,CA-47,-50766.16
WINZLER & KELLY,,2008,CA-90,0.0
"SANTA BARBARA APPLIED RESEARCH, INC.",,2008,CA-24,0.0
"ON-SITE DENTAL CARE, INC.",,2008,CA-15,26068.0
"CV INTERNATIONAL, INC.",,2008,CA-90,0.0
