recipient_name,action_date_fiscal_year,prime_award_transaction_recipient_cd_current,federal_action_obligation
DIVING UNLIMITED INTERNATIONAL INC,2002,CA-90,61350.0
"BLACKSTONE CONSULTING, INC",2002,CA-90,473711.0
RAYTHEON COMPANY,2002,CA-36,45471.0
TEKNOWLEDGE CORPORATION,2002,CA-90,406250.0
SUPPLY TECHNOLOGY INC.,2002,CA-47,45999.0
ELIZABETH & ASSOCIATES MANAGEMENT SERVICES COMPANY,2002,CA-19,8295.0
"PROJECT PARTNERS, LLC",2002,CA-16,7400.0
S.D. CARMACK DIRTMOVING,2002,CA-01,21000.0
"PHENOMENEX, INC.",2002,CA-90,4760.0
"MOUNTAIN HARDWEAR, INC.",2002,CA-08,120865.0
NAF LODGING,2002,CA-18,31407.0
"TOSHIBA AMERICA INFORMATION SYSTEMS, INC.",2002,CA-47,2758.0
"SYNOPSYS, INC.",2002,CA-16,4296815.0
"DBC TECHNOLOGY, CORP",2002,CA-36,99626.0
MCA ENGINEERS INC,2002,CA-26,47665.0
"CHARLES T. BRYANT & ASSOCIATES, INC",2002,CA-28,26893.0
TITAN CORP,2002,CA-90,255215.0
PRIDE INDUSTRIES,2002,CA-03,3656.0
"SACRAMENTO, COUNTY OF",2002,CA-90,135000.0
DIONEX CORPORATION,2002,CA-17,4912.0
"SOUTHWEST CONSTRUCTION COMPANY, INC.",2002,CA-48,3122.0
CONTINENTAL RPVS,2002,CA-23,117145.0
J R PINA ASPHALT PAVING,2002,CA-90,72042.0
DAVIS ULTRASERV INC,2002,CA-10,28446.0
MISSION RESEARCH CORPORATION,2002,CA-24,364942.0
"COORSTEK VISTA, INC.",2002,CA-49,199995.0
TEKNOWLEDGE CORPORATION,2002,CA-90,47000.0
TELEDYNE RESON INC,2002,CA-24,14100.0
AMERICAN GNC CORP,2002,CA-26,69924.0
NORTHROP GRUMMAN SYSTEMS CORPORATION,2002,CA-31,600000.0
"R. SIMONS CO., INC.",2002,CA-24,82760.0
SRI INTERNATIONAL,2002,CA-90,250721.0
THE BOEING COMPANY,2002,CA-44,53250.0
RAYTHEON COMPANY,2002,CA-36,-2197432.0
ENGILITY CORPORATION,2002,CA-90,2422551.0
SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,2002,CA-90,3323670.0
"CARDINAL HEALTH 414, LLC",2002,CA-32,40000.0
G. C. MICRO CORPORATION,2002,CA-02,12365.0
SERVICE MEAT CO,2002,CA-90,0.0
ENGILITY CORPORATION,2002,CA-32,25000.0
"CUMMINS AEROSPACE, LLC",2002,CA-46,182226.0
"LEADERSHIP STUDIES, INC",2002,CA-50,40000.0
"RAINBOW - BRITE INDUSTRIAL SERVICES, LLC",2002,CA-90,515627.0
"BOEING COMPANY, THE",2002,CA-32,10713.0
MANUFACTURING AND TEST CO INC,2002,CA-16,26960.0
"VISUAL NUMERICS, INC",2002,,13122.0
NORTHROP GRUMMAN SYSTEMS CORPORATION,2002,CA-36,6636435.0
THE BOEING COMPANY,2002,CA-47,299079.0
THE BOEING COMPANY,2002,CA-44,300995.0
MALABAR,2002,CA-26,35904.0
THE BOEING COMPANY,2002,CA-90,101472.0
CODE THREE FIRE & SAFETY,2002,CA-08,67508.0
"BIO-RAD LABORATORIES, INC.",2002,CA-08,49595.0
BEI SYSTRON DONNER INERTIAL DI,2002,CA-10,18415.0
THE REGENTS OF THE UNIVERSITY OF CALIFORNIA (2123),2002,CA-12,486221.0
THE BOEING COMPANY,2002,CA-44,100000.0
"SCALABLE NETWORK TECHNOLOGIES, INC.",2002,CA-90,12948.0
SYMMETRICOM INCORPORATED,2002,CA-90,41727.0
"ENVIRONMENTAL SYSTEMS RESEARCH INSTITUTE, INC.",2002,CA-90,29029.0
HARRIS CORPORATION,2002,CA-15,5286.0
FELCOR TRS HOLDINGS,2002,CA-90,12000.0
MSC.SOFTWARE CORPORATION,2002,CA-46,26775.0
EHELP CORPORATION,2002,CA-90,2630.0
STEALTH NETWORK COMMUNICATIONS INC,2002,CA-14,7329.0
"ALLIED WASTE SERVICES OF NORTH AMERICA, LLC",2002,CA-90,40000.0
EXEMPLIS LLC,2002,CA-90,2391.0
ENGILITY CORPORATION,2002,CA-32,-97721.0
"SEAIR TRANSPORT SERVICES, INC.",2002,CA-90,92950.0
FAKHRUDDIN SHAKIR,2002,CA-90,15108.0
TRW INC,2002,CA-36,100000.0
"MAHMOOD, RAMZI J",2002,CA-03,71887.0
BROADCAST DESIGN INTERNATIONAL INC,2002,CA-49,54863.0
MITCHELL REPAIR INFORMATION CO LLC,2002,CA-48,10861.0
"CUBIC DEFENSE APPLICATIONS, INC.",2002,CA-51,692134.0
GALLS  INCORPORATED,2002,CA-49,610.0
B C STOCKING DISTRIBUTING,2002,CA-04,0.0
THE BOEING COMPANY,2002,CA-47,1462344.0
STERLING COMPUTERS CORPORATION,2002,CA-36,30400.0
FRONTIER TECHNOLOGY INC,2002,CA-24,100000.0
FRONTIER TECHNOLOGY INC,2002,CA-24,249994.0
KESTREL INSTITUTE,2002,CA-90,75000.0
"TELEDYNE SCIENTIFIC & IMAGING, LLC",2002,CA-26,1100000.0
THE BOEING COMPANY,2002,CA-47,250000.0
"ROLLING ROCK CONSTRUCTION, INC.",2002,CA-90,-10117.0
THE BOEING COMPANY,2002,CA-44,-339843.0
ADAC LABORATORIES INC,2002,CA-17,95232.0
TREND WESTERN TECHNICAL CORP,2002,CA-90,5201504.0
RAYTHEON COMPANY,2002,CA-90,-17311.0
"BECKMAN COULTER, INC",2002,CA-90,241776.0
"POLYCOM, INC.",2002,CA-14,0.0
"LEIDOS, INC.",2002,CA-90,123828.0
"ENVIRONMENTAL SYSTEMS RESEARCH INSTITUTE, INC.",2002,CA-23,4091.0
EPSON AMERICA INC,2002,CA-90,67035.0
"COASTAL SYSTEMS, INC.",2002,CA-46,117290.0
MISSION RESEARCH CORPORATION,2002,CA-24,50000.0
"NETAPP, INC.",2002,CA-17,526586.0
SPARTAN TEMPORARY SERVICE,2002,CA-38,7214.0
"ALLIED MODULAR BUILDING SYSTEMS, INC.",2002,CA-46,32640.0
ARMORCAST PRODUCTS CO.,2002,CA-35,45750.0
ARGON OFFICE SUPPLIES,2002,CA-11,3483.0
"ARMOUR OF AMERICA, INCORPORATED",2002,CA-43,97416.0
"TOSHIBA AMERICA INFORMATION SYSTEMS, INC.",2002,CA-47,90035.0
"ENVIRONMENTAL SYSTEMS RESEARCH INSTITUTE, INC.",2002,CA-23,103500.0
"POLYCOM, INC.",2002,CA-14,36768.0
"LEIDOS, INC.",2002,CA-90,287594.0
HAULSEY ENGINEERING INC,2002,CA-51,70255.0
"TECOLOTE RESEARCH, INC.",2002,CA-24,364885.0
EXEMPLIS LLC,2002,CA-45,3569.0
FURNITURE BY THURSTON,2002,CA-03,710461.0
"CONTAINMENT CONSULTANTS, INC.",2002,CA-18,181011.0
ANRITSU COMPANY,2002,CA-18,39850.0
ENGILITY CORPORATION,2002,CA-32,40200.0
OCEAN SYSTEMS ENGINEERING CORPORATION,2002,CA-49,75743.0
ANVIL CASES INC,2002,CA-38,9744.0
"AGILENT TECHNOLOGIES, INC.",2002,CA-17,44477.0
LABORATORY CORPORATION OF AMERICA,2002,,75000.0
VISX INCORPORATED,2002,CA-17,137500.0
"BECKMAN COULTER, INC",2002,CA-39,48511.0
CARDINAL HEALTH 301 INCORPORATED,2002,CA-90,1985129.0
"AGILENT TECHNOLOGIES, INC.",2002,CA-17,32877.0
"TETRA TECH EMC, INC.",2002,CA-26,-5141.0
"ENVIRONMENTAL SYSTEMS RESEARCH INSTITUTE, INC.",2002,CA-23,6896.0
PARSONS GOVERNMENT SERVICES INC,2002,CA-40,29480.0
PARSONS GOVERNMENT SERVICES INC,2002,CA-90,2262000.0
TRIMBLE INC.,2002,CA-17,49063.0
"PLUMTREE SOFTWARE, INC",2002,CA-90,1603877.0
"BANNER AMERICAN PRODUCTS, INC.",2002,CA-48,1593.0
BEYOND COM CORPORATION,2002,,74864.0
"BITCENTRAL, INC.",2002,CA-47,102381.0
"WEST COAST BUSINESS PRODUCTS, INC.",2002,CA-32,1926.0
"MEGGITT (ORANGE COUNTY), INC.",2002,CA-49,29534.0
"AGILENT TECHNOLOGIES, INC.",2002,CA-17,-50851.0
RC ELECTRONICS INC.,2002,CA-24,8600.0
BAE SYSTEMS SAN DIEGO SHIP REPAIR INC.,2002,CA-90,100000.0
BAE SYSTEMS SAN DIEGO SHIP REPAIR INC.,2002,CA-90,16630.0
NATIONAL STEEL AND SHIPBUILDING COMPANY,2002,CA-52,562000.0
D R S TECHNICAL SERVICES INC,2002,CA-90,65979.0
"TRIBUNE ENTERTAINMENT COMPANY, INC",2002,CA-90,57024.0
"HEALTH NET FEDERAL SERVICES, LLC",2002,CA-90,1923384.0
"LITTON SYSTEMS INC  , AERO PRO",2002,CA-32,-1280400.0
"WEST COAST BUSINESS PRODUCTS, INC.",2002,CA-32,30.0
"HEALTH NET, INC.",2002,CA-32,89518593.0
SRI INTERNATIONAL,2002,CA-90,154427.0
LOCKHEED MARTIN CORPORATION,2002,CA-90,70000.0
RAYTHEON COMPANY,2002,CA-51,53144.0
"SAN DIEGO PRECAST CONCRETE, INC.",2002,CA-48,5514.0
DAEGIS INC.,2002,CA-06,58300.0
"LEIDOS, INC.",2002,CA-90,4000000.0
NATIONAL STEEL AND SHIPBUILDING COMPANY,2002,CA-90,542100.0
BAE SYSTEMS SAN DIEGO SHIP REPAIR INC.,2002,CA-52,50000.0
