recipient_name,action_date_fiscal_year,prime_award_transaction_recipient_cd_current,federal_action_obligation
"NEW WORLD ENVIRONMENTAL, INC",2003,CA-14,185247.0
OMRON SCIENTIFIC TECHNOLOGIES INCORPORATED,2003,CA-14,9135.0
THERMAL EQUIPMENT CORPORATION,2003,CA-90,24334.0
EIDAL INTERNATIONAL CORPORATION,2003,CA-24,-50.0
VERSATILE INFORMATION PRODUCTS INC,2003,CA-39,5431.0
MITCHELL REPAIR INFORMATION CO LLC,2003,CA-48,4127.0
"SOLPAC, INC.",2003,CA-90,10781.0
TPA-CKY JOINT VENTURE,2003,CA-44,0.0
"CARDINAL HEALTH 414, LLC",2003,CA-32,7170.0
CITY OF BARSTOW,2003,CA-23,-1.0
CONGLOBAL INDUSTRIES LLC,2003,CA-10,11000.0
COMBAT SUPPORT ASSOCIATES,2003,CA-90,70000000.0
ENGILITY CORPORATION,2003,CA-90,1219818.0
CONDUSIV TECHNOLOGIES CORPORATION,2003,CA-30,2943.0
MISSION RESEARCH CORPORATION,2003,CA-24,375000.0
THE BOEING COMPANY,2003,CA-90,901000.0
"TEHAMA COUNTY OPPORTUNITY CENTER, INC.",2003,CA-01,99998.0
MERANT INC.,2003,,15700.0
"ESSENCE TECH, INC.",2003,CA-28,25432.0
"BOEING COMPANY, THE (INC)",2003,CA-46,5800000.0
"JOSLYN SUNBANK COMPANY, LLC",2003,CA-19,273.0
DAVID PERKINS,2003,CA-08,8850.0
"NEW TECH SOLUTIONS, INC.",2003,CA-90,6534.0
"WESTERN VIDEO, INC.",2003,CA-41,9258.0
VIDERE DESIGN,2003,CA-16,3100.0
BAE SYSTEMS LAND & ARMAMENTS L.P.,2003,CA-17,50000.0
WESTERN STATES CONVERTERS & TRANSMISSIONS INC.,2003,CA-41,268735.0
"SOLPAC, INC.",2003,CA-90,10923.0
"LEIDOS, INC.",2003,CA-90,766648.0
G B C ELECTRICAL SERVICES,2003,,32.0
"ZBE, INC.",2003,CA-24,5000.0
HEWLETT-PACKARD COMPANY,2003,,3216.0
NORTHROP GRUMMAN ENTERPRISE MANAGEMENT SERVICES CORPORATION,2003,CA-23,3358500.0
"KIN ENTERPRISES, INC",2003,CA-01,39539.0
RICHARD D LYNCH A MEDICAL CORP.,2003,,35433.0
"LEIDOS, INC.",2003,CA-90,466477.0
"AFP INTERNATIONAL, LLC",2003,CA-90,4647.0
SOLAR TURBINES INCORPORATED,2003,CA-50,59093.0
"K.O.O. CONSTRUCTION, INC.",2003,CA-07,811075.0
MUROC JOINT UNIFIED SCHOOL DISTRICT,2003,CA-20,28000.0
"SYMVIONICS, INC.",2003,CA-28,336166.0
"BOEING SATELLITE SYSTEMS, INC.",2003,CA-36,150000000.0
"BOEING COMPANY, THE",2003,CA-32,1000000.0
ANRITSU COMPANY,2003,CA-90,34260.0
"R.E. ATCKISON CO., INC.",2003,CA-31,111720.0
"GIRI, DAVID V",2003,CA-10,99282.0
"CONSOLIDATED DEVICES, INC.",2003,CA-90,38650.0
MONTEREY BAY COMMUNICATIONS,2003,CA-19,0.0
FRONTIER TECHNOLOGY INC,2003,CA-24,299986.0
THE BOEING COMPANY,2003,CA-44,9994000.0
"CHEMRING ENERGETIC DEVICES, INC",2003,CA-36,188100.0
ALL CITIES ENTERPRISES,2003,CA-35,0.0
TREND WESTERN TECHNICAL CORP,2003,CA-90,387549.0
"PAE GOVERNMENT SERVICES, INC.",2003,CA-90,300000.0
THE BOEING COMPANY,2003,CA-90,60000.0
"L3HARRIS TECHNOLOGIES, INC",2003,CA-29,12800.0
"BOEING COMPANY, THE (INC)",2003,CA-46,22900000.0
"CUBIC DEFENSE APPLICATIONS, INC.",2003,CA-90,4977678.0
"L-3 SERVICES, INC.",2003,CA-51,123963.0
THE REGENTS OF THE UNIVERSITY OF CALIFORNIA (2123),2003,CA-12,769506.0
CONTINENTAL RPVS,2003,CA-23,63240.0
MIKE BOBBITT & ASSOCIATES,2003,CA-04,40000.0
"R & M ENTERPRISES, INC.",2003,CA-20,3011.0
"PACIFIC TRIANGLE SOFTWARE, INC",2003,CA-16,4359.0
"ENVIRONMENTAL SYSTEMS RESEARCH INSTITUTE, INC.",2003,CA-23,22445.0
DESERT AREA RESOURCES AND TRAINING,2003,CA-90,248609.0
"SANTA BARBARA INFRARED, INC.",2003,CA-24,26700.0
"UMACHINES, INC.",2003,CA-28,99444.0
"HIGHCOM ARMOR SOLUTIONS, INC.",2003,CA-11,992234.0
RAYTHEON COMPANY,2003,CA-36,112147.0
BAE SYSTEMS INERTIAL PRODUCTS,2003,CA-26,31516.0
CISCO SYSTEMS INC,2003,CA-17,7697.0
"XCOR AEROSPACE, INC.",2003,CA-20,500000.0
BANDY MANUFACTURING LLC,2003,CA-30,1224.0
FAIRWAY BUS TOURS INC,2003,CA-14,6650.0
"REEFER SALES & RENTAL, INC.",2003,CA-35,1540.0
LN CURTIS & SONS,2003,CA-12,59795.0
CONTINENTAL RPVS,2003,CA-23,-13000.0
GENERAL DYNAMICS GOVERNMENT SY,2003,CA-16,599600.0
OPTICAL RESEARCH ASSOCIATES,2003,CA-28,27840.0
KENNETH KUSTIN,2003,CA-50,13000.0
FORSTER & KROEGER INC,2003,CA-02,138100.0
"OPTICAL COMPONENTS, INC",2003,CA-31,10032.0
"BLACKSTONE CONSULTING, INC",2003,CA-32,110321.0
"JOSSAN, IRENE",2003,CA-19,8673.0
LN CURTIS & SONS,2003,CA-12,34440.0
"DIGITAL WEST IMAGING, INC",2003,CA-90,46075.0
TRACEY KIM MEJIA,2003,CA-44,-2571.0
"WILLIAMS, JOHN C",2003,,0.0
TREX ENTERPRISES CORPORATION,2003,CA-90,50000.0
THE RAND CORPORATION,2003,CA-36,784000.0
"K.O.O. CONSTRUCTION, INC.",2003,,55142.0
"BASTANCHURY WATERS COMPANY, INC.",2003,CA-90,1496.0
ENKAY ENGINEERING & EQUIPMENT CO INC,2003,CA-47,8000.0
"DELTA OILFIELD SERVICES, INC.",2003,CA-04,3790.0
"AMERICAN RED CROSS, THE",2003,CA-27,10060.0
"EDAW, INC.",2003,CA-90,18000.0
WOLFETECH DEVELOPMENT CORP II,2003,CA-28,10592.0
LOCKHEED MARTIN CORPORATION,2003,CA-27,194960.0
SRI INTERNATIONAL,2003,CA-90,60393.0
"B D SYSTEMS, INC.",2003,CA-90,71685.0
"YOCKE, MARK",2003,CA-02,79900.0
LOCKHEED MARTIN CORPORATION,2003,CA-27,1006428.0
LOCKHEED MARTIN CORPORATION,2003,CA-27,23704.0
"L-3 SERVICES, INC.",2003,CA-90,81328.0
RAYTHEON COMPANY,2003,CA-36,200000.0
LOCKHEED MARTIN CORPORATION,2003,CA-90,45700.0
SIERRACIN CORPORATION,2003,CA-29,78000.0
"COSMODYNE, LLC",2003,CA-90,89708.0
BAE SYSTEMS NATIONAL SECURITY SOLUTIONS INC.,2003,CA-50,0.0
THE BOEING COMPANY,2003,CA-47,4361972.0
SIEMENS HEALTHCARE DIAGNOSTICS INC.,2003,CA-90,81521.0
"LEIDOS, INC.",2003,CA-90,754.0
"CAMELBAK PRODUCTS, LLC",2003,CA-02,31380.0
AIRLINK NETWORK CORPORATION,2003,CA-38,-4920.0
AAR MANUFACTURING INCORPORATED,2003,CA-06,1132.0
FURNITURE BY THURSTON,2003,CA-03,29175.0
"ICF ENVIRONMENTAL, INC.",2003,CA-90,152671.0
"LEIDOS, INC.",2003,CA-90,499743.0
"CAREFUSION SOLUTIONS, LLC",2003,CA-90,-2070.0
"AGILENT TECHNOLOGIES, INC.",2003,CA-17,3276.0
"TREASURY FRANCHISE FUND, US",2003,CA-90,43756.0
"BECKMAN COULTER, INC",2003,CA-90,0.0
"MITSUBISHI DIGITAL ELECTRONICS AMERICA, INC.",2003,CA-47,451.0
CANDLE CORPORATION,2003,CA-36,97028.0
CAL INC.,2003,CA-04,55199.0
MARSH COMMUNICATION SERVICES INC,2003,CA-90,16871.0
